ID,Start time,Completion time,Email,Name,Last modified time,"Provide adequate teaching resources for classes with large enrollments, challenging time schedules or difficult schedules",Upgrade technology and training so that hybrid teaching is possible and of high quality,Provide faculty with mentoring opportunities in competency-based training on undergraduate and graduate-level teaching,Create three-year teaching schedules,Replace student evaluations of teaching with more evidence based methods for ensuring quality teaching,Allow course release for national level service participation (e.g. Chair of a professional society),Provide incentives and training for mentoring PhD students,Create transparent and realistic faculty workload models that distribute workloads equitably across faculty in the department,Any other action not mentioned (type in your answer):,Actions in Teaching,What is your top priority item?,What is your second priority item?,What is your third priority item?,Column8,Column2,Change faculty dispute resolution practices to be more humane and problem solving,"Require leadership training and develop competencies of Chancellors, Deans, Chairs, and administrators related to problem solving, conflict resolution, and academic freedom",Establish salary structures that insure that salaries of faculty are higher than staff and postdoctoral fellows,Decrease the pay gap between tenure track and teaching track faculty,Ensure transparent merit procedures and allocation of available funds,Ensure salary raises for those who have had outstanding performance each year,Deal with salary compression of senior faculty who have served the UW for a long time,Request the UW administration of Seattle-Bothell-Tacoma to come up with a shared vision for the future of the University of Washington's three campuses,"Create an officer or office for faculty wellbeing in Academic Personnel, so there is a person or group responsible for these actions",Any other action not mentioned (type in your answer):2,Action Items Government,What is your top priority item?2,What is your second priority item?2,What is your third priority item?2,What is your third priority item?23,What is your third priority item?22,Create climate for acceptable academic discourse,Provide leadership skills for faculty at all ranks,Provide easy access to mental health services for faculty,Create safety programs for faculty working in all UW environments (labs and classrooms),Co-locate faculty in departments who do similar work (teaching and research topics),"Upgrade office spaces and departments that are clean, colorful, and welcoming",Consider implementing family tuition reimbursement program so our children can get a free or reduced cost of UW education,Create an academic landscape one can understand - this could be done with an organizational chart for each school/department,Any other action not mentioned (type in your answer):3,Action Items Worklife,What is your top priority item?3,What is your second priority item?3,What is your third priority item?3,Column3,Column4,"Foster a supportive research environment around grant writing, publication, and statistical assistance that is free to faculty",Provide access to indirect cost recovery funds to the PI,Assist with creating more research platforms with industry,Co-create funding methods with research faculty,Create research/scientist research series for elevating research methods for all,Update lab equipment for research and teaching,"Create a database of available research staff, so that talent developed at UW can be kept and shared across departmental units and colleges",Any other action not mentioned (type in your answer):4,Actions in Research ,What is your top priority item?4,What is your second priority item?4,What is your third priority item?4,"Below, please write in any other action(s) you would like to see the UW take to address the issues mentioned above:",Column9,What is your main campus location?,Column5,What is your school or college?,Column10,Column6,What is your academic rank?,Column7,What is your sex/gender?,"If you are willing to participate in a qualitative interview related to this survey, please place your UW NetID in the box below. In doing so, your survey responses will no longer be anonymous."
677,4/24/24 12:35:13,4/24/24 12:49:56,anonymous,,,1 - Highest ,5 - Lowest,4,4,2,3,2,2,"The course release would be useful but the examples given are too narrow. For many of these items they would only be workable for my department if supplemental funding were provided from outside of the current department budget. 

For the mentoring of PhD students - recognition of these efforts and associated teaching release would be very helpful, however everyone in my department already has many students, so without additional resources given to the department it wouldn't change anything.",Course Release,Teaching resources,Realistic faculty workloads,Training for mentoring graduate students,,,5 - Lowest,3,1 - Highest,1 - Highest,4,3,2,5 - Lowest,5 - Lowest,,,Decrease pay gap,Salary structure,Salary compression,,,3,2,1 - Highest,4,5 - Lowest,4,5 - Lowest,5 - Lowest,"What does ""acceptable academic discourse"" mean? 
A more useful action would be having the university take effective action against bullies and harassers. In my experience calling out people who do harm results in them claiming that we don't have ""acceptable discourse"".

Most of these items do not seem to relate to work life balance.",,Access to mental health,,,,,1 - Highest,1 - Highest,4,4,5 - Lowest,4,4,,,Free grant support resources,Access to indirect costs,,,,Seattle,,UWS - College of the Environment,,,Professor,,Female,
687,4/24/24 12:25:51,4/24/24 12:58:08,anonymous,,,4,4,4,4,4,3,4,1 - Highest ,Create more opportunities for course releases for faculty doing high levels of service/admin work/leadership work ,Course Release,,,,,,3,1 - Highest,2,,1 - Highest,3,1 - Highest,1 - Highest,3,,,,,,,,1 - Highest,3,1 - Highest,3,1 - Highest,1 - Highest,1 - Highest,1 - Highest,,,,,,,,1 - Highest,5 - Lowest,5 - Lowest,3,5 - Lowest,5 - Lowest,5 - Lowest,,,,,,,,,,,,,,,,
505,4/17/24 13:51:59,4/17/24 14:03:11,anonymous,,,3,3,2,3,1 - Highest ,3,3,3,UW should require students to have DRS accommodations and not leave it to faculty to make accommodations decisions on a case by case basis. ,DRS,Replace student evaluations,Mentoring for teaching,Training for mentoring graduate students,,,1 - Highest,1 - Highest,1 - Highest,1 - Highest,1 - Highest,1 - Highest,1 - Highest,5 - Lowest,3,,,Leadership training ,Salary structure,Decrease pay gap,,,1 - Highest,3,3,3,3,5 - Lowest,5 - Lowest,5 - Lowest,,,Climate for discourse,Access to mental health,Leadership training,,,3,3,3,2,2,3,1 - Highest,,,Database of research staff,Co-create funding methods,Create research methods series,,,Seattle,,UWS - Information School,,,Assistant Teaching Professor,,Female,
488,4/17/24 6:39:14,4/17/24 6:50:10,anonymous,,,1 - Highest ,1 - Highest ,1 - Highest ,,3,3,3,1 - Highest ,Embrace the opportunities of technology and allow faculty to self-determine to teach on-line or in person (or mixed) as fits (combined) their research and their students best.  ,Embrace Technology,Realistic faculty workloads,Other,Teaching resources,,,2,2,1 - Highest,1 - Highest,1 - Highest,2,1 - Highest,2,2,,,Transparent merit process,Salary structure,Salary compression,,,1 - Highest,2,2,2,3,2,5 - Lowest,5 - Lowest,,,Climate for discourse,Safety programs,Upgrade office spaces,,,1 - Highest,1 - Highest,5 - Lowest,,5 - Lowest,3,3,Don't understand what co-create funding methods means,,Access to indirect costs,Free grant support resources,Database of research staff,Transparent and easy-to-find access to bridge funding,,Seattle,,UWS - College of the Environment,,,Professor,,Prefer not to share,
95,4/15/24 15:55:20,4/15/24 16:02:32,anonymous,,,5 - Lowest,5 - Lowest,5 - Lowest,5 - Lowest,5 - Lowest,5 - Lowest,1 - Highest ,2,,ABB,Training for mentoring graduate students,Realistic faculty workloads,Course release,,,1 - Highest,5 - Lowest,4,5 - Lowest,5 - Lowest,1 - Highest,1 - Highest,5 - Lowest,5 - Lowest,,,Salary raises,Salary compression,Compensation.,,,2,4,1 - Highest,5 - Lowest,5 - Lowest,5 - Lowest,1 - Highest,5 - Lowest,,,Climate for discourse,Access to mental health,Family tuition rates,,,5 - Lowest,1 - Highest,5 - Lowest,3,5 - Lowest,5 - Lowest,5 - Lowest,,,Access to indirect costs,Co-create funding methods,Osp and gca should work for faculty instead of against them.  ,,,Seattle,,UWS - School of Medicine,,,Professor,,Male,dfowler
103,4/15/24 15:57:59,4/15/24 16:05:40,anonymous,,,1 - Highest ,5 - Lowest,4,5 - Lowest,4,1 - Highest ,4,1 - Highest ,End to ABB and the Darwinian struggle for student enrollments among units.,ABB,Realistic faculty workloads,Teaching resources,Course release,,,3,3,1 - Highest,1 - Highest,3,1 - Highest,3,3,3,,,Salary raises,Leadership training ,Decrease pay gap,,,2,3,4,5 - Lowest,5 - Lowest,3,1 - Highest,3,,,Family tuition rates,Leadership training,,,,,,,,,,,,,,,,,,Seattle,,UWS - College of Arts & Sciences,,,Professor,,Female,
207,4/15/24 16:47:45,4/15/24 16:57:26,anonymous,,,1 - Highest ,1 - Highest ,1 - Highest ,2,1 - Highest ,3,2,1 - Highest ,,Equal Access to International Travel Faculty Advisors,Realistic faculty workloads,Replace student evaluations,,,,1 - Highest,3,2,1 - Highest,1 - Highest,1 - Highest,1 - Highest,1 - Highest,1 - Highest,,,Create officer for faculty wellbeing,Salary raises,Change dispute resolution,,,1 - Highest,1 - Highest,1 - Highest,1 - Highest,2,2,1 - Highest,2,,,Access to mental health,Family tuition rates,Leadership training,,,1 - Highest,2,1 - Highest,1 - Highest,1 - Highest,1 - Highest,1 - Highest,"Provide support for open science, including open data sharing. ",Open Science,Access to indirect costs,Co-create funding methods,Free grant support resources,,,Seattle,,UWS - Foster School of Business,,,Professor,,Male,
583,4/22/24 10:31:23,4/22/24 10:41:46,anonymous,,,1 - Highest ,3,3,3,2,1 - Highest ,1 - Highest ,1 - Highest ,"Related to above, provide FTE/course release for additional work done that is required for School/unit required work instead of just adding more and more responsibilities that are said to fall under 'service', this is not sustainable, equitable, and has led at least for me to say I am not doing anything more 'extra' work unless it is accounted for related to other responsibilities.",FTE,Realistic faculty workloads,Course release,Teaching resources,,,1 - Highest,1 - Highest,3,2,2,2,2,2,2,,,Change dispute resolution,Leadership training ,Salary raises,,,1 - Highest,2,2,2,3,3,2,2,,,Climate for discourse,Leadership training,Family tuition rates,,,1 - Highest,2,3,2,2,3,1 - Highest,,,Co-create funding methods,Free grant support resources,Database of research staff,,,Seattle,,UWS - School of Nursing,,,Associate Professor,,Female,
628,4/24/24 12:16:28,4/24/24 12:21:09,anonymous,,,2,1 - Highest ,2,2,3,2,1 - Highest ,1 - Highest ,,FTE,Upgrade technology,Teaching resources,Three-year teaching schedule,,,3,2,1 - Highest,1 - Highest,1 - Highest,1 - Highest,1 - Highest,3,4,,,Salary structure,Decrease pay gap,Salary raises,,,2,2,2,3,2,2,2,2,,,Climate for discourse,Leadership training,Upgrade office spaces,,,1 - Highest,1 - Highest,2,2,2,2,2,,,Free grant support resources,Access to indirect costs,Co-create funding methods,,,Seattle,,UWS - School of Medicine,,,Professor,,Male,
833,4/26/24 15:06:55,4/26/24 15:24:52,anonymous,,,1 - Highest ,4,5 - Lowest,5 - Lowest,2,3,5 - Lowest,5 - Lowest,"Faculty are very alarmed and distressed with the expected large increase in pay for ASE, with accompanied expected reduction in TA support for our courses.  At least in the School of Public Health, departments are expecting 0 extra funds to hire TAs.  Faculty are demoralized at the prospect of running their courses with substantially less (or eliminated) TA support.",Funding,Realistic faculty workloads,Teaching resources,,,,2,2,5 - Lowest,5 - Lowest,5 - Lowest,5 - Lowest,5 - Lowest,5 - Lowest,5 - Lowest,,,Change dispute resolution,,,,,1 - Highest,3,5 - Lowest,5 - Lowest,5 - Lowest,5 - Lowest,5 - Lowest,5 - Lowest,,,Climate for discourse,,,,,2,2,3,,3,5 - Lowest,,NIH paylines have become ever more stringent.  Faculty who rely on soft money to any degree are under enormous pressure in an increasingly competitive environment for research funding.,Funding,Free grant support resources,,,,,Seattle,,UWS - School of Public Health,,,Professor,,Female,
333,4/15/24 22:22:30,4/15/24 22:27:29,anonymous,,,4,4,4,5 - Lowest,4,4,4,5 - Lowest,,Funding,Teaching resources,,,,,4,4,5 - Lowest,5 - Lowest,5 - Lowest,5 - Lowest,5 - Lowest,5 - Lowest,5 - Lowest,,,Leadership training ,,,,,5 - Lowest,5 - Lowest,3,3,5 - Lowest,4,1 - Highest,5 - Lowest,,,Family tuition rates,,,,,4,3,3,4,5 - Lowest,3,5 - Lowest,Making it easier for faculty from different units to co-PI grants and contracts.,Grants,Access to indirect costs,,,,,Seattle,,UWS - Evans School of Public Policy and Governance,,,Professor,,Male,
229,4/15/24 17:12:27,4/15/24 17:20:03,anonymous,,,1 - Highest ,2,2,5 - Lowest,2,4,3,1 - Highest ,,Funding,Realistic faculty workloads,Teaching resources,Replace student evaluations,,,4,2,2,1 - Highest,2,3,1 - Highest,4,3,,,Salary compression,Transparent merit process,Salary compression,,,3,2,1 - Highest,4,1 - Highest,3,4,5 - Lowest,,,Co-locate faculty,Access to mental health,,,,,,,,,,,,Trainings,,,,,,Seattle,,UWS - College of Arts & Sciences,,,Teaching Professor,,Female,
736,4/24/24 13:50:49,4/24/24 13:58:40,anonymous,,,1 - Highest ,2,5 - Lowest,5 - Lowest,3,3,3,2,"Make the campus and near campus environment safe.
Increase funding for faculty, staff, and student salaries. Increase the amount of staff and stop the forever increasing burden on staff which is now a burden on faculty. Workday finance is a good example. Failing Ucar system. ",Funding,Teaching resources,Realistic faculty workloads,Upgrade technology,,,3,3,1 - Highest,1 - Highest,1 - Highest,1 - Highest,1 - Highest,5 - Lowest,5 - Lowest,,,Salary raises,Salary compression,Decrease pay gap,,,1 - Highest,4,3,1 - Highest,4,5 - Lowest,3,3,,,Climate for discourse,Safety programs,Family tuition rates,,,2,2,2,2,3,1 - Highest,3,,,,,,,,Seattle,,UWS - College of the Environment,,,Associate Professor,,Female,
655,4/24/24 12:10:19,4/24/24 12:33:35,anonymous,,,2,1 - Highest ,3,4,1 - Highest ,2,1 - Highest ,2,Research grants provide at least 90% of my salary; teaching is supposed to be covered when I teach but there is always slight of hand to say for me because I have lots of grant funding that teaching falls within the 10% support provided by the Dept.,Grants,Upgrade technology,Training for mentoring graduate students,Replace student evaluations,,,3,1 - Highest,1 - Highest,1 - Highest,1 - Highest,1 - Highest,1 - Highest,3,1 - Highest,"As the questionnaire is written It is difficult to tell whether to answer the statement as ""should"" it be priority or ""is it now"" a University priority.   I think I am answering as ""should tis be a priority"" ---but it is ambiguous.",,Salary compression,Leadership training ,Salary raises,,,1 - Highest,2,3,2,1 - Highest,1 - Highest,2,2,,,Climate for discourse,Co-locate faculty,Upgrade office spaces,,,1 - Highest,1 - Highest,2,2,2,2,3,,,Free grant support resources,Access to indirect costs,Co-create funding methods,,,Seattle,,UWS - School of Public Health,,,Professor,,Male,
800,4/24/24 22:21:35,4/24/24 22:31:43,anonymous,,,1 - Highest ,2,2,1 - Highest ,2,3,3,1 - Highest ,,Hybrid Teaching,Realistic faculty workloads,Upgrade technology,Three-year teaching schedule,,,1 - Highest,1 - Highest,2,1 - Highest,2,2,1 - Highest,2,1 - Highest,,,Decrease pay gap,Salary compression,Leadership training ,,,2,2,2,2,2,2,2,2,,,Family tuition rates,Upgrade office spaces,Climate for discourse,,,2,2,2,2,2,1 - Highest,2,,,Co-create funding methods,Database of research staff,Update lab equipment,,,Tacoma,,UWT - School of Interdisciplinary Arts & Sciences,,,Associate Teaching Professor,,,
645,4/24/24 12:23:12,4/24/24 12:27:29,anonymous,,,1 - Highest ,2,3,2,5 - Lowest,1 - Highest ,3,1 - Highest ,,Incentives for Mentoring,Realistic faculty workloads,Teaching resources,Course release,,,1 - Highest,1 - Highest,1 - Highest,2,1 - Highest,1 - Highest,1 - Highest,2,2,,,Salary compression,Salary structure,Salary raises,,,3,2,3,2,2,3,1 - Highest,1 - Highest,,,Create organizational charts,Family tuition rates,Leadership training,,,2,1 - Highest,3,2,3,3,2,,Safe Buildings,Access to indirect costs,Free grant support resources,Co-create funding methods,,,Tacoma,,UWT - School of Education,,,Associate Professor,,Prefer not to share,
205,4/15/24 16:45:44,4/15/24 16:54:53,anonymous,,,5 - Lowest,1 - Highest ,4,5 - Lowest,3,1 - Highest ,1 - Highest ,4,Compensation / incentives for those of us with heaving PhD student advising loads. Mentoring is less helpful than addressing the unequal advising loads.,Incentives for Mentoring,Teaching resources,Upgrade technology,Course release,,,2,4,4,4,1 - Highest,1 - Highest,3,4,5 - Lowest,,,Transparent merit process,Salary raises,,,,,5 - Lowest,5 - Lowest,5 - Lowest,5 - Lowest,1 - Highest,2,5 - Lowest,,,Upgrade office spaces,Family tuition rates,,,,1 - Highest,5 - Lowest,5 - Lowest,5 - Lowest,5 - Lowest,5 - Lowest,5 - Lowest,,,Free grant support resources,,,Please stop creating dean positions that cut into our admin staffing budgets ,,Seattle,,UWS - College of Arts & Sciences,,,Associate Professor,,Female,
241,4/15/24 17:20:28,4/15/24 17:28:06,anonymous,,,1 - Highest ,3,5 - Lowest,5 - Lowest,5 - Lowest,1 - Highest ,3,2,,Incentives for Mentoring,Teaching resources,Course release,Upgrade technology,,,3,2,3,5 - Lowest,2,3,3,5 - Lowest,4,,,Salary structure,Leadership training ,Create officer for faculty wellbeing,,,1 - Highest,1 - Highest,1 - Highest,1 - Highest,3,2,2,3,,,Climate for discourse,Access to mental health,Safety programs,,,1 - Highest,2,2,2,4,1 - Highest,3,,,More research platforms,Free grant support resources,Update lab equipment,,,Seattle,,UWB - School of Business,,,Professor,,Female,
262,4/15/24 16:46:41,4/15/24 18:07:22,anonymous,,,1 - Highest ,1 - Highest ,2,3,1 - Highest ,3,1 - Highest ,1 - Highest ,,Incentives for Mentoring,Teaching resources,Upgrade technology,Replace student evaluations,,,2,1 - Highest,1 - Highest,2,1 - Highest,5 - Lowest,1 - Highest,1 - Highest,2,,,Salary raises,Salary compression,Leadership training ,,,2,2,1 - Highest,1 - Highest,3,1 - Highest,1 - Highest,2,,,Access to mental health,Family tuition rates,Upgrade office spaces,,,1 - Highest,1 - Highest,3,3,3,1 - Highest,1 - Highest,,,Free grant support resources,Update lab equipment,Database of research staff,,,Bothell,,UWB - School of Interdisciplinary Arts & Sciences,,,Professor,,Female,beccap
639,4/24/24 12:17:11,4/24/24 12:25:14,anonymous,,,1 - Highest ,3,3,3,1 - Highest ,4,1 - Highest ,1 - Highest ,,Incentives for Mentoring,Realistic faculty workloads,Replace student evaluations,Teaching resources,,,3,3,2,3,1 - Highest,3,1 - Highest,3,4,,,Salary compression,Transparent merit process,Salary structure,,,2,2,2,2,4,1 - Highest,1 - Highest,2,,,Upgrade office spaces,Family tuition rates,Create organizational charts,,,1 - Highest,1 - Highest,3,3,3,1 - Highest,3,,,Free grant support resources,Update lab equipment,Access to indirect costs,,,Seattle,,UWS - School of Medicine,,,Professor,,Female,
673,4/24/24 12:39:00,4/24/24 12:46:35,anonymous,,,1 - Highest ,1 - Highest ,1 - Highest ,5 - Lowest,3,5 - Lowest,5 - Lowest,1 - Highest ,,Incentives for Mentoring,Teaching resources,Upgrade technology,Mentoring for teaching,,,3,1 - Highest,1 - Highest,1 - Highest,1 - Highest,5 - Lowest,1 - Highest,3,1 - Highest,,,Decrease pay gap,Salary compression,Leadership training ,,,1 - Highest,3,1 - Highest,1 - Highest,3,3,1 - Highest,1 - Highest,,,Safety programs,Access to mental health,Family tuition rates,,,1 - Highest,5 - Lowest,3,3,3,1 - Highest,1 - Highest,,,Free grant support resources,Update lab equipment,More research platforms,,,Tacoma,,UWT - School of Interdisciplinary Arts & Sciences,,,Associate Teaching Professor,,Male,
680,4/24/24 12:34:26,4/24/24 12:54:31,anonymous,,,1 - Highest ,2,2,1 - Highest ,4,5 - Lowest,3,1 - Highest ,You have mentioned incentives and training for mentoring PhD students which is a bit generic. It could be made specific as to providing incentives and training to prepare phd students for teaching roles. This could help smaller departments in the university to balance workload.,Incentives for Mentoring,Realistic faculty workloads,Three-year teaching schedule,Teaching resources,,,3,2,3,4,2,1 - Highest,2,4,3,,,Salary raises,Transparent merit process,Salary compression,,,1 - Highest,2,4,3,2,3,1 - Highest,3,,,Family tuition rates,Leadership training,Climate for discourse,,,1 - Highest,1 - Highest,2,4,3,4,3,,,Free grant support resources,Access to indirect costs,More research platforms,"SIGNIFICANT SALARY INCREASE in the upcoming years for faculty to keep pace with cost of living and inflation in Seattle. Despite receiving good raises for the last two years, my salary, when adjusted for inflation, has essentially decreased since I joined UW about 5 years ago. So, I can't imagine the state of many other faculty who may have not received similar raises in the past two years. It also makes me question the need for trying to be meritorious and overachieving. There are no significant incentives to try harder. It is getting very hard to continue working on these salaries with a family and children to support. This is especially difficult for families that dont have partners working in tech/corporate positions. Many are essentially living pay check to pay check. ",,Seattle,,UWS - College of Engineering,,,Assistant Professor,,Male,
79,4/15/24 15:54:14,4/15/24 15:58:50,anonymous,,,1 - Highest ,1 - Highest ,2,3,2,4,4,3,,Increase DEI,Teaching resources,Upgrade technology,Replace student evaluations,,,3,3,2,1 - Highest,1 - Highest,2,3,3,2,,,Decrease pay gap,Transparent merit process,Create officer for faculty wellbeing,,,2,2,2,2,2,2,3,1 - Highest,,,Create organizational charts,Access to mental health,Climate for discourse,,,2,2,2,3,2,2,2,,,Database of research staff,Access to indirect costs,More research platforms,,,Seattle,,UWS - College of Arts & Sciences,,,Assistant Teaching Professor,,Female,
575,4/21/24 9:24:15,4/21/24 9:28:32,anonymous,,,1 - Highest ,1 - Highest ,2,2,1 - Highest ,2,1 - Highest ,1 - Highest ,,Increase Student Support,Teaching resources,Upgrade technology,Realistic faculty workloads,,,,,,,,,,,,,,,,,,,1 - Highest,3,3,3,4,2,2,3,,,,,,,,1 - Highest,2,2,1 - Highest,1 - Highest,1 - Highest,1 - Highest,,UW Club,Create research methods series,Free grant support resources,Database of research staff,,,Seattle,,UWS - School of Medicine,,,Professor,,Female,
348,4/16/24 4:01:13,4/16/24 4:06:33,anonymous,,,2,5 - Lowest,5 - Lowest,5 - Lowest,5 - Lowest,3,2,2,Make parking permits affordable and easy to obtain online for faculty who must commute.  The constant rising costs and clunky online system create a disincentive for faculty to come to campus and an incentive to reduce the amount of time on campus.  Neither is good for the UW.,Parking,Other,,,,,2,1 - Highest,1 - Highest,4,1 - Highest,1 - Highest,1 - Highest,5 - Lowest,1 - Highest,,,Salary compression,Salary raises,Salary structure,,,1 - Highest,2,2,5 - Lowest,5 - Lowest,5 - Lowest,5 - Lowest,5 - Lowest,,,Climate for discourse,,,,,1 - Highest,2,5 - Lowest,5 - Lowest,5 - Lowest,5 - Lowest,2,,,Free grant support resources,Access to indirect costs,Database of research staff,,,Seattle,,UWS - College of Arts & Sciences,,,Professor,,Prefer not to share,
106,4/15/24 15:59:59,4/15/24 16:06:07,anonymous,,,1 - Highest ,3,3,2,2,3,3,1 - Highest ,"Pathways to equitably pay instructors, lecturers, and/or adjuncts and hire them for teaching professor positions",Pay,Other,Teaching resources,Three-year teaching schedule,,,3,3,1 - Highest,1 - Highest,1 - Highest,1 - Highest,1 - Highest,3,3,,,Salary structure,Salary raises,Salary compression,,,1 - Highest,1 - Highest,3,3,3,1 - Highest,3,3,,,Upgrade office spaces,Climate for discourse,Leadership training,,,3,3,3,3,3,3,3,,,,,,,,Seattle,,UWS - College of Arts & Sciences,,,Lecturer,,Female,
107,4/15/24 15:57:44,4/15/24 16:06:40,anonymous,,,5 - Lowest,5 - Lowest,5 - Lowest,1 - Highest ,3,3,1 - Highest ,1 - Highest ,We have been asked to do more and more every year with less and less. Please ensure any changes don't allow our Deans/Chairs to make things worse! ,Pay,Realistic faculty workloads,Three-year teaching schedule,Training for mentoring graduate students,,,2,3,2,5 - Lowest,3,1 - Highest,3,4,3,,,Salary raises,Salary structure,Change dispute resolution,,,1 - Highest,1 - Highest,3,5 - Lowest,2,1 - Highest,3,4,,,Upgrade office spaces,Co-locate faculty,Climate for discourse,,,1 - Highest,1 - Highest,4,4,4,3,3,,,Access to indirect costs,Free grant support resources,Database of research staff,,,Seattle,,UWS - School of Public Health,,,Associate Professor,,Female,
113,4/15/24 15:56:27,4/15/24 16:07:41,anonymous,,,5 - Lowest,5 - Lowest,5 - Lowest,5 - Lowest,5 - Lowest,3,1 - Highest ,2,"Faculty compensation given cost of living -- it's financially impossible for many younger faculty to take sabbaticals, while older faculty continue to be able to do so (and ask why we aren't taking sabbaticals, so perhaps some sensitivity to this). And tired of hearing about salary compression when the cost of living increases in Seattle disproportionately affect those who have just moved here, are starting families, etc.",Pay,Other,Realistic faculty workloads,Course release,,,5 - Lowest,4,1 - Highest,5 - Lowest,5 - Lowest,5 - Lowest,5 - Lowest,5 - Lowest,5 - Lowest,,,Salary raises,Salary raises,Salary raises,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Seattle,,UWS - College of Arts & Sciences,,,Associate Professor,,Female,
183,4/15/24 15:57:32,4/15/24 16:40:03,anonymous,,,5 - Lowest,4,3,3,2,3,2,2,,Pay,,,,,,3,3,4,5 - Lowest,3,1 - Highest,3,5 - Lowest,5 - Lowest,,,,,,,,1 - Highest,3,4,4,4,4,5 - Lowest,3,,,Climate for discourse,,,,,3,4,2,3,3,3,3,,,,,,,,Seattle,,UWS - Foster School of Business,,,Professor,,Male,
208,4/15/24 16:45:44,4/15/24 16:57:45,anonymous,,,1 - Highest ,3,2,5 - Lowest,1 - Highest ,4,3,1 - Highest ,Create a system for compensating those faculty who have been employed for many years and are running behind newly hired colleagues due to salary inversion and compression,Pay,Realistic faculty workloads,Replace student evaluations,see question # 2,,,1 - Highest,1 - Highest,1 - Highest,4,1 - Highest,1 - Highest,1 - Highest,2,1 - Highest,,,Salary compression,Salary structure,Salary raises,,,1 - Highest,2,2,2,3,1 - Highest,3,2,,,Leadership training,Upgrade office spaces,Safety programs,,,1 - Highest,1 - Highest,2,2,3,1 - Highest,3,,,Free grant support resources,Access to indirect costs,Update lab equipment,,,Seattle,,UWS - School of Dentistry,,,Professor,,Prefer not to share,
336,4/15/24 22:36:42,4/15/24 22:42:38,anonymous,,,1 - Highest ,1 - Highest ,1 - Highest ,,,,,5 - Lowest,Pay a competitive salary.,Pay,Teaching resources,,,,,5 - Lowest,4,1 - Highest,5 - Lowest,5 - Lowest,,1 - Highest,2,5 - Lowest,,,Salary compression,Salary compression,Salary compression,,,5 - Lowest,5 - Lowest,5 - Lowest,5 - Lowest,5 - Lowest,5 - Lowest,1 - Highest,5 - Lowest,,,Family tuition rates,Family tuition rates,Family tuition rates,,,3,2,3,3,3,5 - Lowest,5 - Lowest,,,,,,,,Seattle,,UWS - School of Medicine,,,Professor,,Male,
365,4/16/24 7:54:01,4/16/24 8:11:53,anonymous,,,5 - Lowest,1 - Highest ,4,5 - Lowest,3,4,3,1 - Highest ,Retroactively compensate faculty for independent study and undergraduate research credits,Pay,Realistic faculty workloads,Upgrade technology,Replace student evaluations,,,2,1 - Highest,1 - Highest,5 - Lowest,1 - Highest,1 - Highest,1 - Highest,2,5 - Lowest,,,Salary raises,Salary structure,Salary compression,,,3,2,1 - Highest,1 - Highest,2,5 - Lowest,1 - Highest,2,,,Family tuition rates,Access to mental health,Safety programs,,,3,1 - Highest,2,4,4,2,5 - Lowest,,,Access to indirect costs,,,,,Bothell,,UWB - School of STEM,,,Associate Professor,,Prefer not to share,
412,4/15/24 17:24:30,4/16/24 10:44:50,anonymous,,,1 - Highest ,1 - Highest ,2,3,1 - Highest ,3,4,1 - Highest ,Provide compensation for extra work like committee service that are not in the contract,Pay,Teaching resources,Mentoring for teaching,Replace student evaluations,,,2,2,1 - Highest,1 - Highest,1 - Highest,2,3,3,2,"Promotion of teaching track lacks clear guidance from our college leading to a delay that is very sad and hurting. Moreover, the guidance that is given is not feasible for teaching track. ",,Decrease pay gap,Transparent merit process,Salary structure,,,2,1 - Highest,2,2,4,1 - Highest,1 - Highest,2,,,Family tuition rates,Upgrade office spaces,Leadership training,,,,,,,,,,,,,,,Pay gap is almost unbearable given the amount of work that teaching track is taking on,,Seattle,,UWS - College of Arts & Sciences,,,Assistant Teaching Professor,,Female,naehrn
480,4/16/24 14:15:09,4/16/24 20:46:30,anonymous,,,1 - Highest ,5 - Lowest,2,5 - Lowest,2,4,2,1 - Highest ,"Pay - as a teaching associate I am full time and do not make a living wage. This means I need to do additional work above a 1.0 FTE job, which prevents me from actually supporting students the way I'm hired to do. I would make significantly more money if I applied for another doctoral degree and taught my same classes as a teaching assistant.",Pay,Realistic faculty workloads,Training for mentoring graduate students,Replace student evaluations,,,3,2,1 - Highest,1 - Highest,1 - Highest,1 - Highest,1 - Highest,3,3,,,Decrease pay gap,Salary structure,Salary raises,,,1 - Highest,2,2,5 - Lowest,5 - Lowest,5 - Lowest,3,2,,,Climate for discourse,Leadership training,Access to mental health,,,1 - Highest,2,3,2,3,5 - Lowest,1 - Highest,,,Database of research staff,Access to indirect costs,Free grant support resources,,,Seattle,,UWS - College of Education,,,Lecturer,,Female,jmlally@uw.edu
521,4/18/24 8:59:18,4/18/24 9:03:29,anonymous,,,,,,,2,1 - Highest ,1 - Highest ,1 - Highest ,Faculty salaries are not at par with peer institutions,Pay,Course release,Realistic faculty workloads,Replace student evaluations,,,,,1 - Highest,1 - Highest,1 - Highest,1 - Highest,1 - Highest,,2,,,,,,,,,,1 - Highest,2,2,1 - Highest,1 - Highest,1 - Highest,,,Upgrade office spaces,Family tuition rates,Access to mental health,,,2,,,2,,,,,,,,,Office space upgrade. Professional cleaning of office once per year.,,Seattle,,UWS - College of Arts & Sciences,,,Professor,,Transgender,
